8479,1828,fan lider du av,2020-02-05 21:12:34.524381+00
8480,1699,"gillar inte din ton, så låt mig vara är du snäll",2020-02-05 21:12:58.62533+00
8481,1828,"förlåt, nu tänker jag skära mig själv för att jag fick skuld känslor",2020-02-05 21:13:54.424512+00
8482,1828,n00b,2020-02-05 21:14:39.82777+00
8483,1828,xdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxdxd,2020-02-05 21:19:45.17462+00
8484,1802,sov,2020-02-05 21:19:50.474484+00
8485,1802,nu,2020-02-05 21:19:52.174401+00
8486,1802,zzz,2020-02-05 21:19:54.174366+00
8487,1802,zzz,2020-02-05 21:20:00.274479+00
8488,1802,"Oj, jag fick nyss erektion, thihihihih",2020-02-05 21:20:22.324524+00
8489,1802,phome amnadagirl,2020-02-05 21:53:16.424667+00
8490,1802,phome hornta,2020-02-05 21:54:52.174688+00
8491,1802,phome badgerattack,2020-02-05 22:04:21.324477+00
8492,1802,phome badgerattack,2020-02-05 22:04:52.174547+00
8493,1802,phome CatSpaceTravel,2020-02-05 22:10:43.024664+00
8494,1802,phome CatSpaceTravel,2020-02-05 22:11:16.674443+00
8495,1802,phome Diggeman,2020-02-05 22:11:50.224534+00
8496,1802,balance,2020-02-06 12:24:37.969462+00
8497,1802,balance,2020-02-06 12:25:13.418514+00
8498,1802,pay johnnx12 803.00,2020-02-06 12:25:56.96886+00
8499,1802,pay johnnx12 803.00,2020-02-06 12:27:48.718959+00
8500,1168,hej,2020-02-06 15:34:11.568781+00
8501,1583,hej,2020-02-06 15:34:15.970273+00
8502,1168,har du någon elytra,2020-02-06 15:34:45.468735+00
8503,1583,ja,2020-02-06 15:34:56.218635+00
8504,1168,om jag skulle ge dig alla min pengar 199 så kanske jag skulle kunna få den tappade min vet inte hur man hittar till end,2020-02-06 15:36:10.96855+00
8505,1168,oj kolla en sklett häst,2020-02-06 15:36:41.518496+00
8506,1168,gullig,2020-02-06 15:36:48.118311+00
8507,1583,om du vill till end så kan du skriva /phome opaso,2020-02-06 15:36:54.468452+00
8508,1168,ok föresten vill du ha en skletthäst :-) hittade en,2020-02-06 15:37:29.818458+00
8510,1168,jag skulle vilja ha en,2020-02-06 15:38:10.518585+00
8511,1168,vet du ett ställe jag kan ha min skletthäst :-(,2020-02-06 15:41:03.618541+00
8512,1583,jag kan bygga en till åt dig,2020-02-06 15:42:01.41888+00
8513,1583,jag kan bygga en till åt dig,2020-02-06 15:42:04.668515+00
8514,1583,ops,2020-02-06 15:42:07.296388+00
8515,1168,tack :-),2020-02-06 15:42:15.518401+00
8516,1168,min häst försvann,2020-02-06 15:43:31.370058+00
8517,1583,va,2020-02-06 15:43:36.368412+00
8518,1841,yep,2020-02-06 15:43:37.668309+00
8519,1583,konstigt,2020-02-06 15:43:53.118473+00
8520,1168,brotta försvann:(,2020-02-06 15:44:04.169949+00
8521,1583,synd,2020-02-06 15:44:09.818453+00
8522,1168,och min sadel ...,2020-02-06 15:44:36.418776+00
8523,1583,testa att gå utt och in på servern,2020-02-06 15:44:54.018541+00
8524,1841,kan man få mat?,2020-02-06 15:45:11.368378+00
8525,1583,ja,2020-02-06 15:45:16.568668+00
8526,1841,ok vart e du,2020-02-06 15:45:27.818607+00
8527,1583,post huset,2020-02-06 15:45:41.168404+00
8528,1841,ok,2020-02-06 15:45:47.868376+00
8529,1841,tackar man tackar,2020-02-06 15:46:02.768541+00
8530,1168,nej hittar inte hästen :(,2020-02-06 15:46:23.268416+00
8531,1583,ok,2020-02-06 15:46:29.418626+00
8532,1168,wah,2020-02-06 15:47:25.768733+00
8533,1168,jag går till min lägenhet and being derprison,2020-02-06 15:48:09.318734+00
8534,1841,kan du invita mig till discord,2020-02-06 15:49:43.418777+00
8535,1583,du får den för att du är depresed,2020-02-06 15:49:53.268353+00
8536,1168,tack,2020-02-06 15:49:54.01858+00
8537,1841,kan du det ture,2020-02-06 15:50:21.018932+00
8538,1583,j,2020-02-06 15:50:28.371427+00
8539,1583,A,2020-02-06 15:50:32.668512+00
8540,1841,ok,2020-02-06 15:50:34.518392+00
8541,1841,så,2020-02-06 15:52:48.96921+00
8542,1841,PvP,2020-02-06 16:00:46.218742+00
8543,1841,kommer fortfarande vara i gamet,2020-02-06 16:08:57.318912+00
8544,1583,nooooooooooooooo,2020-02-06 16:09:12.968686+00
8545,1842,Hello?,2020-02-06 17:23:07.318858+00
8546,1842,?,2020-02-06 17:23:19.568607+00
8547,1842,hello?,2020-02-06 17:23:27.018605+00
8548,1663,?,2020-02-06 17:23:27.068351+00
